metric,Rank,method
ndpv,1,original
cam,2,original
mfa,3,original
ce,4,original
amc,5,original
avg.cc.,5,original
dam,5,original
moa,6,original
npm,7,original
lcom3,7,original
ca,7,original
noc,8,original
lcom,9,original
ndpv,1,remove
cam,2,remove
mfa,3,remove
ce,4,remove
amc,4,remove
avg.cc.,5,remove
npm,5,remove
dam,5,remove
moa,6,remove
lcom3,6,remove
ca,7,remove
noc,7,remove
lcom,8,remove
ndpv,1,separating
cam,2,separating
mfa,3,separating
npm,4,separating
lcom,5,separating
ce,5,separating
ca,5,separating
lcom3,5,separating
moa,6,separating
noc,6,separating
avg.cc.,6,separating
dam,6,separating
amc,6,separating
