metric,Rank,method
nr,1,original
ndpv,1,original
cbo,2,original
lcom,3,original
moa,4,original
dam,4,original
ic,4,original
lcom3,5,original
npm,5,original
amc,5,original
cam,5,original
avg.cc.,5,original
ca,6,original
mfa,6,original
noc,6,original
ndpv,1,remove
nr,1,remove
cbo,2,remove
dam,3,remove
lcom3,3,remove
ic,4,remove
amc,4,remove
avg.cc.,4,remove
moa,4,remove
lcom,4,remove
npm,5,remove
ca,5,remove
mfa,5,remove
cam,6,remove
noc,7,remove
cbo,1,separating
ndpv,2,separating
nr,3,separating
lcom,4,separating
dam,4,separating
cam,4,separating
npm,5,separating
ic,6,separating
noc,6,separating
ca,6,separating
amc,6,separating
moa,6,separating
mfa,6,separating
lcom3,7,separating
avg.cc.,7,separating
