metric,Rank,method
change_times,1,original
CBO,2,original
NCV,2,original
NIM,3,original
IFANIN,3,original
NIV,3,original
NCM,3,original
AverageComplexity,4,original
NOC,4,original
DIT,4,original
change_times,1,remove
CBO,2,remove
NCV,3,remove
NIM,4,remove
IFANIN,5,remove
NIV,5,remove
DIT,6,remove
AverageComplexity,6,remove
NCM,6,remove
NOC,7,remove
change_times,1,separating
NCV,1,separating
CBO,2,separating
IFANIN,2,separating
NIM,3,separating
NIV,3,separating
NCM,4,separating
DIT,5,separating
NOC,5,separating
AverageComplexity,6,separating
