metric,Rank,method
ndpv,1,original
cbo,2,original
ca,3,original
mfa,3,original
avg.cc.,3,original
dam,4,original
amc,4,original
lcom3,4,original
cam,4,original
moa,4,original
noc,4,original
npm,5,original
lcom,5,original
ndpv,1,remove
cbo,2,remove
ca,3,remove
amc,3,remove
avg.cc.,3,remove
mfa,3,remove
dam,4,remove
lcom3,4,remove
lcom,5,remove
npm,5,remove
cam,5,remove
noc,5,remove
moa,5,remove
cbo,1,separating
ndpv,2,separating
npm,3,separating
mfa,3,separating
lcom3,3,separating
ca,3,separating
noc,4,separating
cam,4,separating
lcom,4,separating
dam,4,separating
amc,5,separating
avg.cc.,5,separating
moa,5,separating
