metric,Rank,method
avg_cc,1,original
noc,1,original
moa,2,original
cbm,2,original
cam,3,original
lcom,3,original
ca,4,original
lcom3,4,original
amc,4,original
dit,4,original
avg_cc,1,remove
cam,2,remove
cbm,2,remove
noc,2,remove
moa,2,remove
lcom3,3,remove
lcom,3,remove
amc,4,remove
ca,4,remove
dit,4,remove
avg_cc,1,separating
cam,2,separating
noc,2,separating
moa,2,separating
cbm,3,separating
amc,3,separating
lcom3,4,separating
ca,4,separating
lcom,4,separating
dit,4,separating
