,KNN/Kmeans,KNN/SMR,KNN/SVDD,Kmeans/KNN,Kmeans/SMR,Kmeans/SVDD,SMR/KNN,SMR/Kmeans,SMR/SVDD,SVDD/KNN,SVDD/Kmeans,SVDD/SMR
szybkafucha.csv,0.529411765,0.2,0.666666667,1,0.4,0.666666667,0.111111111,0.117647059,0,0.222222222,0.117647059,0
termoproject.csv,0.142857143,0,0.071428571,0.333333333,0.125,0.357142857,0,0.071428571,0.071428571,0,0.357142857,0.125
titan-Class1.csv,0.545454545,0.014492754,0,0.75,0.028985507,0.05,0.125,0.181818182,0.85,0,0.090909091,0.246376812
titan-Class2.csv,1,0.012195122,0.052631579,0.916666667,0,0.052631579,0.083333333,0,0.947368421,0.083333333,0.090909091,0.219512195
titan-Class3.csv,0.888888889,0.014705882,0.039215686,0.888888889,0.007352941,0.019607843,0.111111111,0.055555556,0.725490196,0.111111111,0.055555556,0.272058824
titan-Class4.csv,0.5,0,0,0.571428571,0,0,0,0,0.641791045,0,0,0.234972678
titan-Class5.csv,0.539325843,0.010238908,0.015151515,0.666666667,0.030716724,0.007575758,0.041666667,0.101123596,0.128787879,0.027777778,0.011235955,0.058020478
titan-Class6.csv,0,0.003367003,0,0,0.003367003,0,0,1,0.290540541,0,0,0.144781145
tomcat.csv,0.5,0.023391813,0.046511628,0.802816901,0.01754386,0.023255814,0.056338028,0.026315789,0.953488372,0.028169014,0.00877193,0.239766082
velocity-1.4.csv,0.5,0.102564103,0,0.387096774,0.102564103,0.5,0.129032258,0.166666667,0,0,0.041666667,0
velocity-1.5.csv,0.492063492,0.238095238,0.214285714,0.704545455,0.238095238,0.285714286,0.227272727,0.158730159,0.071428571,0.068181818,0.063492063,0.023809524
velocity-1.6.csv,0.316455696,0.266666667,0.088888889,0.543478261,0.377777778,0.311111111,0.260869565,0.215189873,0.044444444,0.086956522,0.17721519,0.044444444
wicket-1.3.0-beta2.csv,0.532051282,0.210227273,0.034695451,0.680327869,0.286931818,0.047802621,0.606557377,0.647435897,0.049344641,0.368852459,0.397435897,0.181818182
wicket-1.3.0-incubating-beta-1.csv,0.547619048,0.179640719,0.027928627,0.75,0.266467066,0.030256012,0.652173913,0.706349206,0.050426687,0.391304348,0.30952381,0.194610778
wicket-1.5.3.csv,0.603896104,0.12815534,0.017267649,0.920792079,0.225242718,0.019299137,0.653465347,0.753246753,0.070086338,0.336633663,0.246753247,0.267961165
workflow.csv,0.444444444,0.142857143,0,0.666666667,0.142857143,0,0.083333333,0.055555556,1,0,0,0.142857143
wspomaganiepi.csv,0.166666667,0,0,0.5,0,0.5,0,0,0.5,0,0.166666667,0.333333333
xalan-2.4.csv,0.383116883,0.027777778,0.115384615,0.686046512,0.069444444,0.076923077,0.046511628,0.064935065,0.788461538,0.069767442,0.025974026,0.284722222
xalan-2.5.csv,0.300319489,0.175,0.149253731,0.546511628,0.23125,0.253731343,0.162790698,0.118210863,0.507462687,0.058139535,0.054313099,0.2125
xalan-2.6.csv,0.352517986,0.084745763,0.090277778,0.532608696,0.101694915,0.284722222,0.081521739,0.064748201,0.173611111,0.070652174,0.147482014,0.141242938
xalan-2.7.csv,0.545454545,0,0,0.857142857,0,0,0,0,0.261363636,0,0,0.127071823
xerces-1.2.csv,0.476190476,0.159090909,0.3,0.701754386,0.272727273,0.3,0.245614035,0.285714286,0,0.052631579,0.035714286,0
xerces-1.3.csv,0.420289855,0.033333333,0.066666667,0.547169811,0.033333333,0.088888889,0.056603774,0.043478261,0.911111111,0.056603774,0.057971014,0.455555556
xerces-1.4.csv,0.458823529,0.051282051,0.069444444,0.619047619,0.05982906,0.097222222,0.095238095,0.082352941,0.013888889,0.079365079,0.082352941,0.008547009
xerces-init.csv,0.266666667,0.28125,0.111111111,0.631578947,0.53125,0.222222222,0.236842105,0.188888889,0.555555556,0.026315789,0.022222222,0.15625
zuzel.csv,0.666666667,0,0,0.666666667,0.2,0,0,0.166666667,1,0,0,0.2
,0.540652071,,,0.688287838,,,,,,,,
