file,AUC_original,AUC_KNN,AUC_Sep,Recall_original,Recall_KNN,Recall_Sep,Brier_original,Brier_KNN,Brier_Sep,popt_original,popt_KNN,popt_Sep,pf_original,pf_KNN,pf_Sep
camel-1.2.csv,0.5884096587396364,0.6014725584493026,0.6048468875733343,0.38652108433734944,0.23952954675846233,0.3333333333333333,0.28971486175115213,0.29449084831437766,0.3077525706260963,0.5753006205277466,0.6163368128029052,0.6074953311042232,0.2624113475177305,0.1076254826254826,0.18151311775472845
derby-10.2.1.6.csv,0.6847274330117388,0.7491026612828013,0.7343555001952533,0.4729161964617441,0.43423439134984304,0.4315796006667376,0.22875136593565099,0.1969056318351865,0.20954497804235517,0.515845711383417,0.48116907748950277,0.49871862626187946,0.1833511016346837,0.0901471467247987,0.11691052717302786
derby-10.3.1.4.csv,0.6915751229736651,0.7523805665744733,0.742913404882318,0.4603412152050284,0.3915780141843971,0.40998155398283387,0.22244255349033187,0.18532424582565526,0.19351940671431606,0.561482921837597,0.4979943703028197,0.5115815902358434,0.1685988400593339,0.07279350885908259,0.09630926898877859
eclipse34_debug.csv,0.6659503913097709,0.6980843118381113,0.696535699845263,0.381228627259404,0.2896844370069328,0.3164372131831456,0.20523631840796014,0.18040932566699486,0.1923147338491468,0.5537847981366475,0.5288419602436158,0.5358270076642826,0.14209489016007304,0.0515463917525773,0.08645471774451136
prop-1-164.csv,0.7385166114946946,0.707053260180832,0.7296137021530893,0.3276988636363636,0.13393924898349674,0.2435425711972919,0.07969279846851346,0.07155350367835055,0.0725928399548989,0.6778148682924939,0.6472943085300037,0.6643065029397666,0.030269703101901947,0.0042535283841151,0.0143159138357501
prop-1-44.csv,0.8122050874852815,0.7552471091208556,0.7823781575485607,0.4066418630287998,0.3060536980749746,0.3845928099779897,0.061858780368851,0.061745246559084546,0.060059433250828645,0.7087203358028349,0.6727348970827386,0.6967919336022581,0.0233240612256607,0.0051301180332658,0.0125001081324232
prop-1-92.csv,0.778336136547559,0.813021333636541,0.8062205359582642,0.6593291404612159,0.6422679184950846,0.6406077582548171,0.20132463921547994,0.1726967563035282,0.18004760733720496,0.7113729270867651,0.7286774317367333,0.7211526823877318,0.15972019155967748,0.12519148735594254,0.1370825566652017
prop-2-256.csv,0.8277680425383678,0.8384339427229266,0.8425810600559764,0.6807359307359306,0.6696882690730106,0.6838614739558135,0.15834158975161217,0.14503982677584654,0.14336318112676455,0.7765290642358047,0.7892534478810709,0.787438047726128,0.13468916151577204,0.10094939465203376,0.1070372990606453
prop-3-318.csv,0.8882701392818284,0.8966299281658467,0.8983686791152934,0.5766178861788618,0.4,0.4875727490585416,0.071291378899738,0.07097065228237151,0.06992563451483666,0.803662116616703,0.8161812279053258,0.821607561004738,0.03509834063342315,0.0064558021365412,0.0173217931646693
prop-4-355.csv,0.801110998626261,0.8182856234475546,0.8216007593707484,0.671082302341172,0.631054509891392,0.6491333241984105,0.1777769083858258,0.16142837057934134,0.16221508200960255,0.7611548292026058,0.7440908678828544,0.75464712888047,0.1337184243663745,0.1023786944839576,0.11411905730248084
prop-5-121.csv,0.7212322957797163,0.7128846125725106,0.7213722230400363,0.2819493649010628,0.11145617667356796,0.193426724137931,0.10587065915137919,0.098572491891843,0.10331994143029416,0.6385251218600578,0.6545469940812054,0.6607964509810508,0.044100070900435495,0.0100364963503649,0.0234802589463241
prop-5-157.csv,0.7242360271656276,0.6468785307614326,0.6798066685463462,0.22810685249709634,0.08059103702100015,0.18047923865631899,0.1092322708571664,0.1106983899716114,0.11750569025128324,0.566027619374859,0.5215692837791274,0.5647931104257129,0.0425679437479379,0.003257328990228,0.0291274338322318
prop-5-185.csv,0.740918535990501,0.6982507982615238,0.7000953108766759,0.21609055993531429,0.11521443158611294,0.16244073386930524,0.0728568488179514,0.06887934771462856,0.0763392068057233,0.6266036676253579,0.6259222146828767,0.6339036426850897,0.024886145565474853,0.00625012456402585,0.017234159135934853
prop-5-4.csv,0.7047658872504499,0.662927671502838,0.6739293634839745,0.25626389169529196,0.121045621045621,0.1745989304812834,0.0718200773449099,0.06525304015175129,0.06868716834497145,0.7006105058096421,0.7229119600305041,0.7181214719864595,0.02913759399569075,0.0059071729957805,0.014833190273371249
prop-5-40.csv,0.8242592493370463,0.780282413635778,0.7860016906882015,0.45351320204724943,0.37272593627108674,0.41017125623810713,0.07581327867679916,0.07176355738236806,0.07619933719227734,0.7093150822395514,0.7311734788143371,0.7336345421463198,0.0284606127772713,0.006374506039273,0.01627343609829465
prop-5-85.csv,0.7926391911471957,0.8041310474859402,0.8003459858748498,0.5625047537755542,0.5050686333020717,0.5415841330555651,0.16105754620547486,0.1433104700411797,0.15275867179080527,0.7017008319214753,0.7267881795325465,0.7334501642015134,0.1077439750595488,0.05998965873836605,0.08346598681755996
xalan-2.5.csv,0.657271630112499,0.687309828354379,0.6791174474842535,0.577436814141715,0.6097590595550374,0.5850166790214975,0.28020478294410545,0.2713215488215488,0.2783843537414966,0.5883459423444513,0.6075830689017341,0.6176411720447674,0.34998441049396456,0.32418508804795804,0.3131127450980392
xalan-2.6.csv,0.7500431601887882,0.7842521292142588,0.7698348019719223,0.6351598173515982,0.6060544217687075,0.6334368530020704,0.23041396712814566,0.21197149670375243,0.22393827463784588,0.4834201284008145,0.47489106479374954,0.5005539450205734,0.22064450161620153,0.1371428571428571,0.17956394902502684
