file,overlapratio,datasets
jruby-1.5.0.csv,0.062776304,JIRA
jruby-1.7.0.preview1.csv,0.046468401,JIRA
junit-Class3.csv,0.011128776,Github
junit-Class4.csv,0.01529052,Github
junit-Class5.csv,0.03348554,Github
junit-Class6.csv,0.049247606,Github
junit-Class7.csv,0.014959724,Github
kalkulator.csv,0.148148148,PROMISE
log4j-1.0.csv,0.177777778,PROMISE
log4j-1.1.csv,0.211009174,PROMISE
log4j-1.2.csv,0.082926829,PROMISE
lucene-2.0.csv,0.246153846,PROMISE
lucene-2.2.csv,0.234817814,PROMISE
lucene-2.3.0.csv,0.159006211,JIRA
lucene-2.4.csv,0.247058824,PROMISE
lucene-2.9.0.csv,0.156432749,JIRA
lucene-3.0.0.csv,0.098728497,JIRA
lucene-3.1.csv,0.037419815,PROMISE
MapDB-Class1.csv,0.088339223,Github
MapDB-Class2.csv,0.096676737,Github
MapDB-Class3.csv,0.0215311,Github
MapDB-Class4.csv,0.006833713,Github
MapDB-Class5.csv,0.031034483,Github
mcMMO-Class1.csv,0.178571429,Github
mcMMO-Class2.csv,0.182857143,Github
mcMMO-Class3.csv,0.109004739,Github
mcMMO-Class4.csv,0.146179402,Github
mcMMO-Class5.csv,0.003215434,Github
mcMMO-Class6.csv,0.112540193,Github
mct-Class1.csv,0.004769475,Github
mct-Class2.csv,0.003428012,Github
mct-Class3.csv,0.003237743,Github
neo4j-Class4.csv,0.004384362,Github
neo4j-Class5.csv,0.004710316,Github
neo4j-Class6.csv,0.002278423,Github
neo4j-Class7.csv,0.009832175,Github
neo4j-Class8.csv,0.008857205,Github
neo4j-Class9.csv,0.001010484,Github
netty-Class1.csv,0.022058824,Github
netty-Class2.csv,0.024611399,Github
netty-Class3.csv,0.0537514,Github
netty-Class4.csv,0.127438231,Github
netty-Class5.csv,0.140857393,Github
netty-Class6.csv,0.086363636,Github
netty-Class7.csv,0.070375335,Github
netty-Class8.csv,0.054111406,Github
nieruchomosci.csv,0.148148148,Github
orientdb-Class1.csv,0.024752475,Github
orientdb-Class2.csv,0.051616915,Github
orientdb-Class3.csv,0.101245263,Github
orientdb-Class4.csv,0.076320939,Github
orientdb-Class5.csv,0.037668161,Github
oryx-Class1.csv,0.080675422,Github
oryx-Class2.csv,0.059701493,Github
oryx-Class3.csv,0.012891344,Github
pbeans1.csv,0.307692308,PROMISE
pbeans2.csv,0.156862745,PROMISE
pdftranslator.csv,0.181818182,PROMISE
poi-1.5.csv,0.240506329,PROMISE
poi-2.0.csv,0.108280255,PROMISE
poi-2.5.csv,0.148051948,PROMISE
poi-3.0.csv,0.171945701,PROMISE
prop-1-128.csv,0.05305333,industrial
prop-1-164.csv,0.070036713,industrial
prop-1-192.csv,0.01787649,industrial
prop-1-44.csv,0.067385445,industrial
prop-1-9.csv,0.032323232,industrial
prop-1-92.csv,0.165940054,industrial
prop-2-225.csv,0.06223176,industrial
prop-2-236.csv,0.0295464,industrial
prop-2-245.csv,0.043994068,industrial
prop-2-256.csv,0.143209877,industrial
prop-2-265.csv,0.059443508,industrial
prop-3-285.csv,0.088940901,industrial
prop-3-292.csv,0.066523605,industrial
prop-3-305.csv,0.0360134,industrial
prop-3-318.csv,0.080327869,industrial
prop-4-347.csv,0.045767378,industrial
prop-4-355.csv,0.151320485,industrial
prop-4-362.csv,0.067015707,industrial
prop-5-121.csv,0.093468795,industrial
prop-5-157.csv,0.101292351,industrial
prop-5-185.csv,0.067177914,industrial
prop-5-4.csv,0.058907228,industrial
prop-5-40.csv,0.074442988,industrial
prop-5-85.csv,0.143915645,industrial
prop-6-452.csv,0.088328076,industrial
prop-6-453.csv,0.073359073,industrial
prop-6-454.csv,0.027118644,industrial
redaktor.csv,0.113636364,PROMISE
serapion.csv,0.133333333,PROMISE
skarbonka.csv,0.2,PROMISE
sklebagd.csv,0.15,PROMISE
synapse-1.0.csv,0.070063694,PROMISE
synapse-1.1.csv,0.211711712,PROMISE
synapse-1.2.csv,0.1953125,PROMISE
systemdata.csv,0.107692308,PROMISE
szybkafucha.csv,0.36,PROMISE
termoproject.csv,0.142857143,PROMISE
titan-Class1.csv,0.022988506,Github
titan-Class2.csv,0.029126214,Github
titan-Class3.csv,0.026431718,Github
titan-Class4.csv,0.015267176,Github
titan-Class5.csv,0.049046322,Github
titan-Class6.csv,0.000672948,Github
tomcat.csv,0.082750583,PROMISE
velocity-1.4.csv,0.158163265,PROMISE
velocity-1.5.csv,0.205607477,PROMISE
velocity-1.6.csv,0.200873362,PROMISE
wicket-1.3.0-beta2.csv,0.069200227,JIRA
wicket-1.3.0-incubating-beta-1.csv,0.055023923,JIRA
wicket-1.5.3.csv,0.039177657,JIRA
workflow.csv,0.307692308,PROMISE
wspomaganiepi.csv,0.111111111,PROMISE
xalan-2.4.csv,0.118948824,PROMISE
xalan-2.5.csv,0.214196762,PROMISE
xalan-2.6.csv,0.207909605,PROMISE
xalan-2.7.csv,0.00770077,PROMISE
xerces-1.2.csv,0.129545455,PROMISE
xerces-1.3.csv,0.116997792,PROMISE
xerces-1.4.csv,0.107142857,PROMISE
xerces-init.csv,0.234567901,PROMISE
zuzel.csv,0.206896552,PROMISE
Apache.csv,0.206185567,ReLink
Safe.csv,0.196428571,ReLink
Zxing.csv,0.203007519,ReLink
EQ.csv,0.182098765,AEEEM
JDT.csv,0.121364092,AEEEM
ML.csv,0.110633727,AEEEM
LC.csv,0.081041968,AEEEM
PDE.csv,0.110220441,AEEEM
JM1.csv,0.175647668,NASA
CM1.csv,0.146788991,NASA
KC1.csv,0.212564544,NASA
KC3.csv,0.170103093,NASA
MC1.csv,0.018442623,NASA
MC2.csv,0.233870968,NASA
MW1.csv,0.096,NASA
PC1.csv,0.081001473,NASA
PC2.csv,0.022160665,NASA
PC3.csv,0.105413105,NASA
PC4.csv,0.128346457,NASA
PC5.csv,0.216247808,NASA
ar1.csv,0.082644628,SOFTLAB
ar3.csv,0.079365079,SOFTLAB
ar4.csv,0.14953271,SOFTLAB
ar5.csv,0.138888889,SOFTLAB
ar6.csv,0.168316832,SOFTLAB
