metric,Rank,method
change_times,1,original
CBO,2,original
NCV,2,original
NIM,3,original
IFANIN,4,original
DIT,4,original
NOC,4,original
NIV,5,original
AverageComplexity,5,original
NCM,6,original
change_times,1,remove
CBO,2,remove
NCV,3,remove
NIM,4,remove
DIT,4,remove
NOC,5,remove
IFANIN,5,remove
NIV,6,remove
AverageComplexity,7,remove
NCM,7,remove
change_times,1,separating
NCV,2,separating
NIM,3,separating
NOC,3,separating
NIV,3,separating
CBO,3,separating
IFANIN,3,separating
NCM,4,separating
DIT,4,separating
AverageComplexity,4,separating
