metric,Rank,method
ndpv,1,original
ndc,2,original
ca,3,original
ce,3,original
noc,4,original
moa,4,original
avg.cc.,4,original
lcom3,5,original
lcom,6,original
npm,6,original
ic,7,original
amc,8,original
dam,8,original
mfa,9,original
cam,9,original
ndpv,1,remove
ndc,2,remove
ca,3,remove
ce,3,remove
noc,4,remove
moa,4,remove
avg.cc.,4,remove
lcom3,5,remove
lcom,6,remove
npm,6,remove
ic,7,remove
amc,8,remove
dam,8,remove
mfa,9,remove
cam,9,remove
ndpv,1,separating
ndc,2,separating
ca,3,separating
ce,3,separating
noc,4,separating
moa,4,separating
avg.cc.,4,separating
lcom3,5,separating
lcom,6,separating
npm,6,separating
ic,7,separating
amc,8,separating
dam,8,separating
mfa,9,separating
cam,9,separating
