metric,Rank,method
avg_cc,1,original
npm,1,original
noc,2,original
lcom,2,original
moa,3,original
dit,3,original
lcom3,4,original
dam,5,original
ca,5,original
ic,5,original
amc,6,original
avg_cc,1,remove
npm,1,remove
noc,2,remove
lcom,2,remove
moa,3,remove
dit,3,remove
lcom3,4,remove
dam,5,remove
ca,5,remove
ic,5,remove
amc,6,remove
avg_cc,1,separating
npm,1,separating
noc,2,separating
lcom,2,separating
moa,3,separating
dit,3,separating
lcom3,4,separating
dam,5,separating
ca,5,separating
ic,5,separating
amc,6,separating
