metric,Rank,method
cbo,1,original
ca,2,original
lcom,3,original
npm,4,original
noc,4,original
cbm,5,original
moa,6,original
amc,6,original
mfa,7,original
dam,7,original
cam,8,original
lcom3,8,original
avg.cc.,9,original
cbo,1,remove
ca,2,remove
lcom,3,remove
npm,4,remove
noc,4,remove
cbm,5,remove
moa,6,remove
amc,6,remove
mfa,7,remove
dam,7,remove
cam,8,remove
lcom3,8,remove
avg.cc.,9,remove
cbo,1,separating
ca,2,separating
lcom,3,separating
npm,4,separating
noc,4,separating
cbm,5,separating
moa,6,separating
amc,6,separating
mfa,7,separating
dam,7,separating
cam,8,separating
lcom3,8,separating
avg.cc.,9,separating
