metric,Rank,method
ndpv,1,original
nml,2,original
cbo,3,original
ca,4,original
amc,4,original
noc,5,original
moa,5,original
avg.cc.,5,original
npm,6,original
mfa,7,original
ic,8,original
dam,8,original
lcom3,9,original
cam,10,original
ndpv,1,remove
nml,2,remove
cbo,3,remove
ca,4,remove
amc,4,remove
noc,5,remove
moa,5,remove
avg.cc.,5,remove
npm,6,remove
mfa,7,remove
ic,8,remove
dam,8,remove
lcom3,9,remove
cam,10,remove
ndpv,1,separating
nml,2,separating
cbo,3,separating
ca,4,separating
amc,4,separating
noc,5,separating
moa,5,separating
avg.cc.,5,separating
npm,6,separating
mfa,7,separating
ic,8,separating
dam,8,separating
lcom3,9,separating
cam,10,separating
