metric,Rank,method
ndpv,1,original
cbo,2,original
ca,3,original
lcom,4,original
npm,5,original
noc,5,original
moa,5,original
dam,6,original
mfa,7,original
lcom3,8,original
cam,9,original
amc,9,original
avg.cc.,10,original
ndpv,1,remove
cbo,2,remove
ca,3,remove
lcom,4,remove
npm,5,remove
noc,5,remove
moa,5,remove
dam,6,remove
mfa,7,remove
lcom3,8,remove
cam,9,remove
amc,9,remove
avg.cc.,10,remove
ndpv,1,separating
cbo,2,separating
ca,3,separating
lcom,4,separating
npm,5,separating
noc,5,separating
moa,5,separating
dam,6,separating
mfa,7,separating
lcom3,8,separating
cam,9,separating
amc,9,separating
avg.cc.,10,separating
