metric,Rank,method
amc,1,original
mfa,2,original
lcom3,3,original
avg.cc.,3,original
ce,3,original
cam,4,original
lcom,5,original
ndc,5,original
ic,6,original
ca,6,original
npm,6,original
ndpv,7,original
dam,8,original
noc,9,original
moa,10,original
amc,1,remove
mfa,2,remove
ce,3,remove
avg.cc.,3,remove
lcom3,3,remove
cam,4,remove
ndc,5,remove
lcom,5,remove
ic,6,remove
npm,7,remove
ca,7,remove
dam,8,remove
ndpv,8,remove
noc,9,remove
moa,10,remove
amc,1,separating
mfa,2,separating
ce,3,separating
avg.cc.,3,separating
lcom3,3,separating
cam,4,separating
lcom,5,separating
ndc,5,separating
ic,6,separating
npm,6,separating
ca,6,separating
dam,7,separating
ndpv,7,separating
noc,8,separating
moa,9,separating
