metric,Rank,method
amc,1,original
dit,2,original
mfa,2,original
avg.cc.,3,original
npm,3,original
lcom3,4,original
cam,5,original
lcom,6,original
ndc,7,original
ca,7,original
dam,7,original
ndpv,8,original
noc,9,original
moa,9,original
amc,1,remove
dit,2,remove
mfa,3,remove
avg.cc.,4,remove
npm,5,remove
lcom3,6,remove
cam,7,remove
lcom,8,remove
ndc,9,remove
ca,9,remove
dam,10,remove
ndpv,11,remove
moa,12,remove
noc,12,remove
amc,1,separating
dit,2,separating
mfa,3,separating
avg.cc.,4,separating
npm,5,separating
lcom3,6,separating
cam,7,separating
lcom,8,separating
ndc,9,separating
ca,9,separating
dam,10,separating
ndpv,11,separating
noc,12,separating
moa,12,separating
