metric,Rank,method
cbo,1,original
ndc,2,original
cam,3,original
dam,4,original
ca,5,original
moa,6,original
npm,7,original
avg.cc.,8,original
lcom3,8,original
amc,9,original
mfa,10,original
lcom,11,original
ic,12,original
ndpv,13,original
noc,14,original
cbo,1,remove
ndc,2,remove
cam,3,remove
dam,4,remove
ca,5,remove
moa,6,remove
npm,6,remove
mfa,7,remove
avg.cc.,8,remove
lcom,9,remove
ic,9,remove
amc,10,remove
lcom3,11,remove
noc,11,remove
ndpv,12,remove
ndc,1,separating
cbo,2,separating
ca,3,separating
dam,3,separating
npm,3,separating
mfa,3,separating
moa,3,separating
noc,4,separating
lcom,5,separating
ndpv,6,separating
ic,6,separating
avg.cc.,6,separating
amc,6,separating
lcom3,7,separating
cam,8,separating
