metric,Rank,method
cbo,1,original
ca,2,original
ndpv,3,original
amc,3,original
lcom,4,original
npm,5,original
dam,5,original
avg.cc.,6,original
mfa,7,original
moa,7,original
noc,8,original
lcom3,8,original
cam,9,original
cbo,1,remove
ca,2,remove
ndpv,3,remove
amc,3,remove
lcom,4,remove
npm,5,remove
avg.cc.,6,remove
dam,7,remove
mfa,8,remove
lcom3,9,remove
cam,9,remove
noc,10,remove
moa,10,remove
lcom,1,separating
cbo,2,separating
npm,2,separating
amc,3,separating
ndpv,3,separating
ca,4,separating
lcom3,4,separating
avg.cc.,4,separating
dam,4,separating
mfa,4,separating
noc,5,separating
cam,5,separating
moa,5,separating
