metric,Rank,method
ndpv,1,original
mfa,2,original
cam,2,original
lcom,3,original
npm,4,original
avg.cc.,4,original
ca,5,original
noc,5,original
amc,5,original
moa,6,original
dam,6,original
ce,6,original
lcom3,7,original
ndpv,1,remove
mfa,2,remove
cam,3,remove
lcom,4,remove
npm,5,remove
noc,5,remove
ca,5,remove
dam,6,remove
amc,6,remove
moa,7,remove
avg.cc.,8,remove
ce,8,remove
lcom3,9,remove
ce,1,separating
ca,2,separating
ndpv,3,separating
lcom,3,separating
amc,3,separating
npm,3,separating
noc,4,separating
mfa,4,separating
cam,5,separating
avg.cc.,6,separating
moa,6,separating
dam,6,separating
lcom3,6,separating
