metric,Rank,method
CountLineComment,1,original
RatioCommentToCode,2,original
AvgLineComment,3,original
MaxInheritanceTree,4,original
CountClassCoupled,5,original
CountDeclMethodPrivate,5,original
CountDeclInstanceVariable,6,original
CountClassDerived,7,original
CountDeclClassMethod,7,original
CountDeclMethodProtected,8,original
CountInput_Min,8,original
CountDeclMethodPublic,8,original
AvgEssential,8,original
AvgLineBlank,9,original
CountDeclClassVariable,9,original
CountDeclMethodDefault,9,original
CountInput_Mean,9,original
CountDeclClass,10,original
PercentLackOfCohesion,10,original
MaxNesting_Min,10,original
MaxNesting_Mean,11,original
CountClassBase,11,original
CountOutput_Min,12,original
CountLineComment,1,remove
RatioCommentToCode,2,remove
MaxInheritanceTree,3,remove
CountClassCoupled,4,remove
CountDeclMethodPrivate,5,remove
AvgLineComment,5,remove
CountDeclClassMethod,6,remove
CountDeclInstanceVariable,7,remove
CountClassDerived,8,remove
AvgEssential,9,remove
CountDeclMethodProtected,9,remove
PercentLackOfCohesion,10,remove
CountInput_Mean,10,remove
AvgLineBlank,10,remove
CountInput_Min,10,remove
CountDeclMethodDefault,11,remove
MaxNesting_Min,11,remove
CountDeclClassVariable,12,remove
CountDeclMethodPublic,12,remove
CountOutput_Min,13,remove
CountDeclClass,13,remove
MaxNesting_Mean,13,remove
CountClassBase,14,remove
MaxInheritanceTree,1,separating
AvgLineBlank,2,separating
RatioCommentToCode,2,separating
CountDeclClassMethod,3,separating
CountClassCoupled,3,separating
CountDeclMethodPrivate,3,separating
CountLineComment,4,separating
CountInput_Min,4,separating
AvgLineComment,4,separating
CountDeclClassVariable,4,separating
CountClassBase,5,separating
PercentLackOfCohesion,5,separating
CountDeclInstanceVariable,5,separating
AvgEssential,5,separating
CountDeclMethodPublic,6,separating
CountDeclMethodProtected,6,separating
CountInput_Mean,7,separating
CountDeclMethodDefault,7,separating
CountOutput_Min,7,separating
MaxNesting_Mean,7,separating
CountClassDerived,7,separating
CountDeclClass,8,separating
MaxNesting_Min,8,separating
