metric,Rank,method
dit,1,original
dam,1,original
avg_cc,2,original
moa,3,original
lcom3,3,original
amc,3,original
npm,3,original
lcom,4,original
ic,5,original
ca,5,original
noc,5,original
dit,1,remove
dam,2,remove
avg_cc,3,remove
lcom3,4,remove
amc,4,remove
ic,5,remove
moa,6,remove
lcom,7,remove
ca,7,remove
npm,7,remove
noc,8,remove
amc,1,separating
dit,2,separating
dam,3,separating
moa,3,separating
npm,4,separating
avg_cc,4,separating
lcom,4,separating
lcom3,4,separating
noc,4,separating
ic,5,separating
ca,5,separating
