metric,Rank,method
amc,1,original
cbo,1,original
ca,2,original
mfa,2,original
lcom3,3,original
ndpv,3,original
dam,4,original
cam,4,original
avg.cc.,5,original
npm,5,original
moa,6,original
lcom,6,original
noc,6,original
amc,1,remove
cbo,2,remove
ca,3,remove
mfa,4,remove
lcom3,5,remove
ndpv,5,remove
npm,6,remove
dam,6,remove
cam,6,remove
avg.cc.,7,remove
moa,8,remove
noc,8,remove
lcom,9,remove
amc,1,separating
cbo,2,separating
ca,3,separating
mfa,3,separating
lcom3,4,separating
ndpv,4,separating
npm,5,separating
dam,5,separating
cam,5,separating
avg.cc.,5,separating
moa,6,separating
noc,6,separating
lcom,6,separating
