metric,Rank,method
amc,1,original
lcom,2,original
lcom3,3,original
dit,3,original
npm,4,original
ca,4,original
ic,5,original
moa,5,original
dam,5,original
avg_cc,5,original
noc,5,original
amc,1,remove
lcom,2,remove
dit,3,remove
lcom3,3,remove
npm,3,remove
ca,3,remove
avg_cc,4,remove
moa,4,remove
ic,4,remove
noc,5,remove
dam,5,remove
amc,1,separating
lcom,2,separating
lcom3,3,separating
dit,3,separating
npm,3,separating
ca,3,separating
avg_cc,4,separating
ic,5,separating
dam,5,separating
moa,5,separating
noc,5,separating
