overlap ratio,AUC,Recall,Brier,Popt,pf,classifier
0.249411765,0.680204749,0.5,0.292349727,0.625561652,0.17767094,DT
0.230588235,0.627772138,0.391341991,0.333333333,0.591117574,0.174722033,DT
0.204705882,0.697297955,0.670886076,0.349726776,0.62349329,0.153846154,DT
0.190588235,0.663348566,0.504978355,0.357923497,0.637075797,0.278496332,DT
0.167058824,0.59237383,0.415584416,0.379781421,0.573736088,0.26474359,DT
0.162352941,0.628833204,0.418831169,0.363387978,0.606426947,0.270759587,DT
0.152941176,0.589734676,0.442640693,0.398907104,0.547188457,0.334354436,DT
0.143529412,0.576065061,0.478138528,0.401639344,0.573204271,0.299098026,DT
0.141176471,0.594907407,0.555555556,0.426229508,0.548807049,0.416666667,DT
0.223529412,0.61739418,0.317460317,0.322404372,0.544012988,0.133333333,DT
0.207058824,0.62806574,0.4,0.37704918,0.483363487,0.238938053,DT
0.197647059,0.711317136,0.512815126,0.289617486,0.659455705,0.168401232,DT
0.178823529,0.669608082,0.481012658,0.355191257,0.606646809,0.300884956,DT
0.174117647,0.670670752,0.594827586,0.316939891,0.582233241,0.265486726,DT
0.169411765,0.62646589,0.48452381,0.336065574,0.662933291,0.235088855,DT
0.155294118,0.589021164,0.465517241,0.409836066,0.447274294,0.366666667,DT
0.261176471,0.69021164,0.444444444,0.273224044,0.663262928,0.125,DT
0.237647059,0.663137526,0.432422969,0.316939891,0.609514813,0.167572464,DT
0.195294118,0.696881392,0.597548724,0.322404372,0.585818407,0.26474359,DT
0.171764706,0.670455516,0.557539683,0.333333333,0.578098161,0.241666667,DT
0.150588235,0.639417989,0.589285714,0.387978142,0.567135287,0.273504274,DT
0.254117647,0.726275862,0.396551724,0.256830601,0.526924262,0.096,DT
0.181176471,0.730417351,0.686097427,0.275956284,0.647977667,0.2445,DT
0.176470588,0.677724138,0.672413793,0.327868852,0.504796389,0.328,DT
0.185882353,0.68433253,0.621017023,0.325136612,0.585117889,0.280961538,DT
0.225882353,0.685812711,0.321428571,0.256830601,0.720402928,0.070866142,DT
0.192941176,0.770638306,0.694444444,0.240437158,0.723085952,0.210465879,DT
0.188235294,0.656144544,0.321428571,0.273224044,0.691111782,0.094488189,DT
0.16,0.731299213,0.678571429,0.267759563,0.690764311,0.244094488,DT
0.157647059,0.627281746,0.499007937,0.357923497,0.569199611,0.23523622,DT
0.277647059,0.760549872,0.558823529,0.256830601,0.70760338,0.147826087,DT
0.263529412,0.584590793,0.088235294,0.360655738,0.616079987,0.034782609,DT
0.214117647,0.69258312,0.323529412,0.316939891,0.602166265,0.104347826,DT
0.183529412,0.681774635,0.42254902,0.292349727,0.620959292,0.141215977,DT
0.136470588,0.625392707,0.517241379,0.363387978,0.592014274,0.306064506,DT
0.129411765,0.638459079,0.473972923,0.371584699,0.605952808,0.286956522,DT
0.232941176,0.605436157,0.314285714,0.387978142,0.620105209,0.097560976,DT
0.202352941,0.753473957,0.678571429,0.245901639,0.692299484,0.200995575,DT
0.134117647,0.621774586,0.523809524,0.366120219,0.564794481,0.307692308,DT
0.12,0.59838666,0.421428571,0.352459016,0.559604125,0.232051282,DT
0.122352941,0.5963615,0.5,0.398907104,0.55476486,0.330641593,DT
0.242352941,0.672665789,0.292947559,0.349726776,0.594251281,0.113852961,DT
0.228235294,0.846494709,0.714285714,0.196721311,0.771277132,0.15,DT
0.211764706,0.795965608,0.73015873,0.191256831,0.74218606,0.15,DT
0.148235294,0.657310345,0.603448276,0.325136612,0.536829054,0.289333333,DT
0.251764706,0.760176991,0.371428571,0.273224044,0.699644977,0.053097345,DT
0.145882353,0.577520396,0.433982684,0.390710383,0.480379374,0.28258547,DT
0.131764706,0.599586207,0.476190476,0.37704918,0.565560985,0.326923077,DT
0.124705882,0.597026685,0.511111111,0.393442623,0.574693461,0.341666667,DT
0.117647059,0.552124066,0.398739496,0.420765027,0.535034944,0.319983278,DT
0.112941176,0.573523699,0.430379747,0.401639344,0.57778882,0.317945882,DT
0.108235294,0.575310345,0.405063291,0.382513661,0.55806635,0.269230769,DT
0.138823529,0.604034977,0.46984127,0.420765027,0.492354417,0.348377581,DT
0.127058824,0.569072541,0.443037975,0.43715847,0.534294747,0.336538462,DT
0.110588235,0.570046778,0.444733273,0.385245902,0.568822417,0.304471545,DT
0.115294118,0.602091815,0.484126984,0.387978142,0.602768081,0.307692308,DT
0.105882353,0.580948475,0.433982684,0.382513661,0.567479192,0.290968437,DT
0.094117647,0.593011811,0.446428571,0.37704918,0.533700944,0.275590551,DT
0.103529412,0.58207672,0.439393939,0.382513661,0.550440036,0.292035398,DT
0.098823529,0.581482002,0.428571429,0.371584699,0.54495503,0.275590551,DT
0.091764706,0.577720808,0.428571429,0.379781421,0.535504395,0.283333333,DT
0.101176471,0.568386243,0.428571429,0.393442623,0.53792467,0.299212598,DT
0.087058824,0.590779591,0.444444444,0.37704918,0.542962467,0.283333333,DT
0.082352941,0.586213226,0.445436508,0.37431694,0.55205735,0.284008706,DT
0.08,0.605284553,0.455882353,0.366120219,0.588696622,0.284552846,DT
0.089411765,0.58598144,0.45,0.37704918,0.572020998,0.291338583,DT
0.077647059,0.591310625,0.437254902,0.382513661,0.558631514,0.262824664,DT
0.075294118,0.562433862,0.352941176,0.398907104,0.559194359,0.284552846,DT
0.096470588,0.579935321,0.414285714,0.387978142,0.534294383,0.280071698,DT
0.084705882,0.600319693,0.441176471,0.37704918,0.583246932,0.292035398,DT
0.072941176,0.553255373,0.364285714,0.415300546,0.584417732,0.276298576,DT
0.068235294,0.526264223,0.328571429,0.43715847,0.587164316,0.30120872,DT
0.070588235,0.540139064,0.371428571,0.418032787,0.58719334,0.287610619,DT
0.061176471,0.526611884,0.285714286,0.43715847,0.537051437,0.309734513,DT
0.058823529,0.522155499,0.292857143,0.43442623,0.508052869,0.265486726,DT
0.065882353,0.514096081,0.25,0.420765027,0.537356318,0.216814159,DT
0.063529412,0.543109987,0.342857143,0.453551913,0.600450724,0.320315506,DT
0.056470588,0.529867257,0.292857143,0.43715847,0.540769757,0.269911504,DT
0.2494117647058823,0.784733090983091,0.56998556998557,0.2404371584699453,0.6618786166459688,0.1354700854700854,GBM
0.2305882352941176,0.7092233070109176,0.4608225108225108,0.3360655737704918,0.6264302983306574,0.2171545268890401,GBM
0.2047058823529411,0.7567551119766308,0.5949367088607594,0.2786885245901639,0.5354282952805013,0.2115384615384615,GBM
0.1905882352941176,0.6773594317842107,0.4376623376623376,0.3551912568306011,0.6004625801310418,0.2350049164208456,GBM
0.1670588235294117,0.6545403670403671,0.4909812409812409,0.3524590163934425,0.5750677069584808,0.2651709401709401,GBM
0.1623529411764706,0.6521080771080772,0.5353535353535354,0.3688524590163934,0.5444962733142449,0.2948717948717948,GBM
0.1529411764705882,0.6305944202304962,0.4804372842347525,0.3934426229508196,0.5065666969985132,0.3124262536873156,GBM
0.1435294117647058,0.6374001496628079,0.4994246260069044,0.3688524590163934,0.5240095587043426,0.247522880266243,GBM
0.1411764705882353,0.5986111111111111,0.4761904761904761,0.4098360655737705,0.5109539725252428,0.3333333333333333,GBM
0.2235294117647059,0.755489417989418,0.6190476190476191,0.3005464480874317,0.624326088204828,0.192,GBM
0.2070588235294117,0.6036030341340075,0.3857142857142857,0.3934426229508196,0.520103404110153,0.2566371681415929,GBM
0.1976470588235294,0.747157068921372,0.5446428571428572,0.2896174863387978,0.6619909794345878,0.2001951083548184,GBM
0.1788235294117647,0.7138510223953262,0.569620253164557,0.3114754098360656,0.5153931010105965,0.2566371681415929,GBM
0.1741176470588235,0.7355280144690081,0.6653208206023571,0.3060109289617486,0.6029628945390804,0.2874230769230769,GBM
0.1694117647058823,0.674212901579079,0.4630952380952381,0.3278688524590163,0.6107257263810317,0.209259658968271,GBM
0.1552941176470588,0.6291005291005292,0.492063492063492,0.3879781420765027,0.5686184476324108,0.288,GBM
0.2611764705882353,0.8542328042328042,0.6984126984126984,0.1912568306010929,0.7679847798443982,0.1333333333333333,GBM
0.2376470588235294,0.7882079764272858,0.6024743230625584,0.26775956284153,0.6929899672223397,0.194927536231884,GBM
0.1952941176470588,0.7344544198183438,0.5594735784609202,0.3224043715846993,0.5959734752050568,0.2413461538461538,GBM
0.1717647058823529,0.673148148148148,0.5952380952380952,0.3524590163934425,0.5450503037509791,0.3166666666666666,GBM
0.1505882352941176,0.6775803310613437,0.5714285714285714,0.366120218579235,0.541352365755504,0.2649572649572649,GBM
