overlap ratio,AUC,Recall,Brier,Popt,pf,classifier
0.1592059166991047,0.8080452545568825,0.754054054054054,0.2161671207992734,0.6806573560945209,0.20109439124487,DT
0.1436356558972363,0.7573889895367324,0.6891891891891891,0.2270663033605812,0.7304504504202477,0.1846785225718194,DT
0.1311794472557415,0.8008677787291558,0.75999570999571,0.193006357856494,0.7598230173337374,0.1688605578292302,DT
0.1276761385753211,0.8243451048061226,0.7571565452983546,0.1839237057220707,0.7139647519828953,0.1512023279536306,DT
0.1222265472946671,0.7734610123119015,0.7513513513513513,0.2306993642143505,0.5819667672763776,0.2216142270861833,DT
0.1206695212144803,0.7883814584566978,0.6960018157692576,0.2297910990009082,0.6959812230197435,0.1913556120122467,DT
0.1136629038536395,0.7724331718859763,0.7,0.2488646684831971,0.590439972056922,0.2229822161422708,DT
0.1132736473335928,0.7053480977557585,0.6675675675675675,0.2797456857402361,0.6697106917916226,0.253077975376197,DT
0.1097703386531724,0.7625487868177898,0.7156111335215813,0.2470481380563124,0.6956814651579861,0.2257162371885573,DT
0.1117166212534059,0.6929363700225534,0.6594594594594595,0.2897366030881017,0.6401065658072894,0.2640218878248974,DT
0.1490852471778902,0.7667817220761965,0.6580976863753213,0.2270663033605812,0.6539211635183849,0.1643258426966292,DT
0.141300116776956,0.7169131452008897,0.6323907455012854,0.2452316076294278,0.6300077791598654,0.1783707865168539,DT
0.1315687037757882,0.7957381358135236,0.6760925449871465,0.2279745685740236,0.6331982855926446,0.175561797752809,DT
0.129233164655508,0.8235105783515189,0.6984126984126984,0.1889191643960036,0.6986351751235732,0.173728813559322,DT
0.1257298559750876,0.7393110395424742,0.6323907455012854,0.2624886466848319,0.6291624613889245,0.2050561797752809,DT
0.1167769560140132,0.7626652130933473,0.7043361760585412,0.2329700272479564,0.6353926587753373,0.1995392170575162,DT
0.1159984429739198,0.7777045621149626,0.6897756770856249,0.2216167120799272,0.6757389798976341,0.1719328440605312,DT
0.1144414168937329,0.7910330022111811,0.7127215353436434,0.2293369663941871,0.6369795038628592,0.198113354157925,DT
0.1113273647333592,0.7308587995725138,0.6375321336760925,0.2497729336966394,0.6407057805468287,0.1882022471910112,DT
0.1078240560529388,0.7679285694541705,0.7415373143115054,0.2338782924613986,0.6776925985224341,0.2204461055037135,DT
0.1634877384196185,0.9017928953230984,0.8233830845771144,0.1180744777475022,0.833928843631835,0.0844062947067239,DT
0.1572596340988711,0.862563078740774,0.7835820895522388,0.1553133514986376,0.7717261007076758,0.1201716738197424,DT
0.1448034254573764,0.8508530309824269,0.8009950248756219,0.1607629427792915,0.7578498705060148,0.1387696709585121,DT
0.1370182950564422,0.8507366712043691,0.7755468688304509,0.1662125340599454,0.7247326088123103,0.1346291976089137,DT
0.1366290385363955,0.8281340080712318,0.7736318407960199,0.1752951861943687,0.7258913398471132,0.1459227467811159,DT
0.1362397820163488,0.8071979159994023,0.7338308457711443,0.1943687556766576,0.7311369710728781,0.1530758226037196,DT
0.135850525496302,0.8433728339263946,0.808149176597632,0.1793823796548592,0.752274044495475,0.1720615284740505,DT
0.1261191124951343,0.8118439410890821,0.7418406687788678,0.2111716621253406,0.6969034015623001,0.18447278808761,DT
0.1171662125340599,0.7932563389218527,0.7572652609966043,0.1966394187102633,0.6841842247929966,0.1719468832178749,DT
0.1183339820942,0.7851425988797073,0.736318407960199,0.2125340599455041,0.6667885661501628,0.1831187410586552,DT
0.1514207862981705,0.9136406214552826,0.8677248677248677,0.1099000908265213,0.8166634110164561,0.0982019363762102,DT
0.1444141689373297,0.8771000310677803,0.7618472509776857,0.1730245231607629,0.7113682170692021,0.1374788147974986,DT
0.126508369015181,0.8512168704995088,0.7724560108281038,0.1889191643960036,0.7075004133451464,0.1685176145146855,DT
0.1202802646944336,0.8638426017402504,0.7619047619047619,0.1907356948228883,0.6731060688473074,0.1659751037344398,DT
0.1148306734137796,0.8360358359634357,0.7738548013609139,0.1793823796548591,0.7123761785595246,0.1521968116150592,DT
0.1140521603736862,0.8241381076789098,0.7804232804232805,0.1825613079019073,0.6947991318393092,0.1632947976878612,DT
0.1109381082133125,0.8049005832546634,0.7380952380952381,0.1980018165304269,0.6845896911136828,0.1645919778699861,DT
0.1658232775398987,0.8939519469759734,0.7953964194373402,0.1371480472297911,0.7781465294683295,0.1,DT
0.1498637602179836,0.8851125777644115,0.8266652127652545,0.1462306993642143,0.7498207401328674,0.1313745216396417,DT
0.1339042428960685,0.8590378588667554,0.7493606138107417,0.2070844686648501,0.6919121745381047,0.1830985915492957,DT
0.1304009342156481,0.8378462591405209,0.7289002557544757,0.2170753860127157,0.6509875548710211,0.1873239436619718,DT
0.1241728298949007,0.8456053456287598,0.7416879795396419,0.2098092643051771,0.694392469783385,0.1830985915492957,DT
0.1128843908135461,0.8049254831867507,0.760905912752698,0.2111716621253405,0.7125381049211631,0.1959502110703436,DT
0.1093810821331257,0.813495551312993,0.731457800511509,0.2297910990009082,0.7030877828037458,0.2084507042253521,DT
0.1058777734527053,0.8007280638762291,0.7518610421836228,0.2211625794732061,0.7051608490164414,0.2052056257430131,DT
0.156091864538731,0.9121524099340904,0.8387096774193549,0.1171662125340599,0.7997728243014238,0.0916905444126074,DT
0.1471389645776566,0.8835181343198815,0.802214213504536,0.1362397820163487,0.7807906171443353,0.1033440733651174,DT
0.1432463993771895,0.8657863303163238,0.8312655086848635,0.1444141689373297,0.8088535999794951,0.1303724928366762,DT
0.1323472168158816,0.8571184914186354,0.7513555739362191,0.1902815622161671,0.6626021819168748,0.1597857145687936,DT
0.1253405994550408,0.8221220502392512,0.7146401985111662,0.2279745685740236,0.6135963531816864,0.1948424068767908,DT
0.1230050603347606,0.8252682247044016,0.7890818858560794,0.181653042688465,0.7452287620945964,0.164756446991404,DT
0.1218372907746204,0.8249820843257586,0.7738324996389512,0.1961852861035422,0.676651284653291,0.1790731867774752,DT
